iter	Logloss
221	0.2575190324
222	0.2574695366
223	0.2573830871
224	0.2571774
225	0.2567123835
226	0.2566314739
227	0.2565161268
228	0.2563113835
229	0.2559544397
230	0.2555947008
231	0.2555266229
232	0.2554479999
233	0.2550878558
234	0.2550105817
235	0.2546100204
236	0.2545094879
237	0.2542940369
238	0.2541308122
239	0.2539142175
240	0.2537148351
241	0.2536059684
242	0.2530513644
243	0.2529536227
244	0.2527097231
245	0.2526155357
246	0.252524148
247	0.2524663987
248	0.2522745094
249	0.2522010448
250	0.252068451
251	0.2519541777
252	0.2517998088
253	0.2517264977
254	0.2516321078
255	0.2515556639
256	0.2514901565
257	0.2513966802
258	0.2512641408
259	0.2512093721
260	0.2510380657
261	0.2509429651
262	0.2508737737
263	0.2507737717
264	0.2506990143
265	0.250528078
266	0.2504394075
267	0.2503526323
268	0.2500181491
269	0.2496777573
270	0.2492848983
271	0.2491342207
272	0.2490612737
273	0.2489185679
274	0.2488136447
275	0.2487307166
276	0.248546998
277	0.2484875771
278	0.2484159324
279	0.2483465231
280	0.2482408052
281	0.2480941742
282	0.2478090176
283	0.2473407153
284	0.247260358
285	0.2471147455
286	0.2469005465
287	0.2468329171
288	0.2467136937
289	0.2466113414
290	0.2465463232
291	0.246418386
292	0.246247185
293	0.2460296171
294	0.2458136533
295	0.2456398193
296	0.2453268751
297	0.2452396916
298	0.2451851722
299	0.2448360109
300	0.2447817676
301	0.2446884183
302	0.2446297362
303	0.2445526864
304	0.2444625209
305	0.2442893627
306	0.2437739156
307	0.2435745165
308	0.2434563766
309	0.2433731232
310	0.2432280929
311	0.2431523276
312	0.2429552859
313	0.2428871733
314	0.2428155854
315	0.2427531333
316	0.2426377856
317	0.2425695214
318	0.2425173535
319	0.2421802788
320	0.242127142
321	0.2420334752
322	0.2419528112
323	0.2418960193
324	0.2415721324
325	0.2414662982
326	0.2413445272
327	0.2411969113
328	0.2409231272
329	0.2406775027
330	0.2405040782
331	0.2403036614
332	0.2402487939
333	0.2401995722
334	0.2400795949
335	0.2400206591
336	0.2395399453
337	0.2394832503
338	0.2394286667
339	0.2391993959
340	0.2389889669
341	0.2389043882
342	0.2388543156
343	0.2387840267
344	0.2385414861
345	0.2384737128
346	0.2383990144
347	0.2383097727
348	0.2382507964
349	0.2381415453
350	0.2380882764
351	0.2380197885
352	0.2377747127
353	0.2375889831
354	0.23740989
355	0.2373242065
356	0.2372562669
357	0.2372005835
358	0.2368824788
359	0.2368188066
360	0.2367641977
361	0.2366662908
362	0.2365691116
363	0.2365184622
364	0.2361664126
365	0.2358779898
366	0.2356205398
367	0.2355534292
368	0.235485551
369	0.2354300606
370	0.2353461562
371	0.2352308652
372	0.2351482894
373	0.2349943865
374	0.2348787742
375	0.2348175757
376	0.2347579935
377	0.2346824803
378	0.2346087877
379	0.2344514932
380	0.2343882129
381	0.2343337804
382	0.2342793736
383	0.2340798659
384	0.2338949095
385	0.2338217205
386	0.2337602347
387	0.2337081839
388	0.2336411703
389	0.2335974541
390	0.2335428844
391	0.2334950985
392	0.2334381041
393	0.2333934473
394	0.2333230497
395	0.2332781164
396	0.2332130829
397	0.2330842384
398	0.232998002
399	0.2328564438
400	0.2328043692
401	0.2327589232
402	0.2327034854
403	0.2326324263
404	0.2325870981
405	0.2325447975
406	0.2324797612
407	0.2324320772
408	0.2323038823
409	0.2322382508
410	0.2321842012
411	0.2321375395
412	0.2320683802
413	0.2320191629
414	0.2317770549
415	0.2314309166
416	0.2313659101
417	0.2310259542
418	0.2309850883
419	0.2305829777
420	0.2301854375
421	0.2299931486
422	0.2299557184
423	0.2299180252
424	0.2298612062
425	0.2297575504
426	0.2297192181
427	0.2295659434
428	0.2295221041
429	0.2294851586
430	0.2294422444
431	0.2293825088
432	0.2293256101
433	0.2292752786
434	0.2292403598
435	0.2291811905
436	0.2291097755
437	0.2290587433
438	0.2289881936
439	0.2289596793
440	0.2289167124
441	0.2288473944
442	0.2287922025
443	0.2287545354
444	0.2286898384
445	0.2286455388
446	0.2285862904
447	0.2285255735
448	0.2284852762
449	0.2284318472
450	0.2283809589
451	0.2283253303
452	0.2282685021
453	0.2282240998
454	0.2281741533
455	0.2281198825
456	0.2280538946
457	0.2280201453
458	0.2279170054
459	0.2276408458
460	0.2275972429
461	0.227547343
462	0.227489359
463	0.2274556271
464	0.2274203376
465	0.227388081
466	0.2273386707
467	0.2273010995
468	0.2272500091
469	0.2271962015
470	0.2271201265
471	0.2270528665
472	0.2269956294
473	0.2269613134
474	0.2269126438
475	0.2268475126
476	0.2267700115
477	0.2267171903
478	0.2266658605
479	0.2266016479
480	0.2265642396
481	0.226490006
482	0.2264574433
483	0.2264197584
484	0.2263847243
485	0.2263378772
486	0.2262937372
487	0.2262492545
488	0.2262024597
489	0.2261726936
490	0.2261293119
491	0.2260848245
492	0.2260391825
493	0.2259924368
494	0.2258937534
495	0.2258475815
496	0.2258017175
497	0.2257684707
498	0.2257230189
499	0.2256267094
500	0.2255760632
501	0.225437579
502	0.225389597
503	0.2252894055
504	0.2252509212
505	0.2252132233
506	0.2251776943
507	0.2251410861
508	0.2251095626
509	0.2250726887
510	0.2250381014
511	0.2250025425
512	0.2249658073
513	0.2249302733
514	0.2248831047
515	0.2248346338
516	0.224795198
517	0.2247662207
518	0.224724348
519	0.2246808035
520	0.2246448534
521	0.224562161
522	0.224537073
523	0.2244815392
524	0.2244208654
525	0.2243832958
526	0.2243388067
527	0.2242825791
528	0.2242374518
529	0.2241825136
530	0.2240957475
531	0.224045869
532	0.2239461224
533	0.2239139984
534	0.2238740094
535	0.2237688946
536	0.2237327433
537	0.2236932788
538	0.2236528212
539	0.2236215071
540	0.2235764208
541	0.2235498836
542	0.2235180655
543	0.2234759884
544	0.2233935464
545	0.2233480496
546	0.2233095986
547	0.2231640837
548	0.2230928102
549	0.2230370826
550	0.2230013087
551	0.222965741
552	0.2228889496
553	0.222855706
554	0.2228224657
555	0.2227890759
556	0.2227294231
557	0.2226604781
558	0.2226239216
559	0.2225895266
560	0.2225530474
561	0.2225232168
562	0.2224379631
563	0.2223521924
564	0.2222204854
565	0.2221796815
566	0.2221217377
567	0.2220817952
568	0.2220372979
569	0.2219976217
570	0.2219646572
571	0.2219052434
572	0.2218735482
573	0.2218329208
574	0.2218108031
575	0.2217796007
576	0.2217391948
577	0.221707147
578	0.2216783693
579	0.221644639
580	0.2216079813
581	0.2215706809
582	0.2215308516
583	0.2214964896
584	0.2214696539
585	0.2214329839
586	0.2213991386
587	0.2213592005
588	0.2213334046
589	0.2213041274
590	0.2212082803
591	0.2211763683
592	0.2211223397
593	0.2210957219
594	0.2210562924
595	0.2210119823
596	0.220972408
597	0.2208732864
598	0.2208323803
599	0.2207947018
600	0.2207642661
601	0.2207327667
602	0.2206890143
603	0.2206584851
604	0.2206282514
605	0.220594715
606	0.2205527994
607	0.2205225213
608	0.2204898569
609	0.2204614143
610	0.2204041753
611	0.2203658662
612	0.2203314714
613	0.2202977521
614	0.2202460615
615	0.2202086304
616	0.2201735896
617	0.2201265322
618	0.2200943987
619	0.220016626
620	0.2199736929
621	0.2199339844
622	0.2198965809
623	0.2198703521
624	0.2198349996
625	0.2197811705
626	0.2197477795
627	0.2197129236
628	0.219684221
629	0.2196460655
630	0.2196047252
631	0.2195778922
632	0.2194377906
633	0.2194153467
634	0.2193854567
635	0.2193550652
636	0.219311853
637	0.2192799852
638	0.2192378573
639	0.2192138072
640	0.2191937346
641	0.2191466861
642	0.2190542764
643	0.2190218131
644	0.2189829467
645	0.2189541742
646	0.2189289539
647	0.2188969462
648	0.2188657363
649	0.2188408862
650	0.2188201493
651	0.2187954396
652	0.2187726144
653	0.218743057
654	0.2186977711
655	0.2186461961
656	0.2185293478
657	0.2184907871
658	0.2184538706
659	0.2184224304
660	0.2183831709
661	0.2183618651
662	0.2183471028
663	0.2183054735
664	0.2182190254
665	0.2181966206
666	0.2181636584
667	0.218120256
668	0.2180767309
669	0.2180433691
670	0.2179999871
671	0.2179622066
672	0.2179359975
673	0.2179104056
674	0.2178717095
675	0.2178180173
676	0.2177773639
677	0.2177323711
678	0.2176989574
679	0.2176597091
680	0.2176336754
681	0.2175996313
682	0.217567955
683	0.2175402492
684	0.2175042426
685	0.2174002433
686	0.2173525994
687	0.2173175365
688	0.2172884575
689	0.2172443344
690	0.217197652
691	0.2171526575
692	0.2171134332
693	0.2170820999
694	0.2170388139
695	0.2169880064
696	0.216965642
697	0.2169198973
698	0.2168924962
699	0.2168545744
700	0.2168171443
701	0.2167787732
702	0.2167503664
703	0.2167288854
704	0.2166947671
705	0.2166723542
706	0.216650641
707	0.2166269138
708	0.2165898167
709	0.2165450681
710	0.216510067
711	0.2164831203
712	0.2164492967
713	0.2164239173
714	0.2163891664
715	0.2163554799
716	0.2163282579
717	0.2163034844
718	0.2162698939
719	0.2161845941
720	0.2161475872
721	0.216122828
722	0.2160881484
723	0.2160626724
724	0.2160307059
725	0.215986927
726	0.215958501
727	0.2159239817
728	0.215883683
729	0.2158602504
730	0.215824743
731	0.2157942718
732	0.2157643476
733	0.2156714277
734	0.2156403861
735	0.2156059694
736	0.2155734177
737	0.2155464943
738	0.2155074301
739	0.2154834179
740	0.2154466494
741	0.2154165796
742	0.2153486361
743	0.2153214153
744	0.2152888483
745	0.2152593365
746	0.2152178939
747	0.2151871785
748	0.2151624141
749	0.2151347563
750	0.2150987667
751	0.215067961
752	0.2150330726
753	0.214999782
754	0.2149720006
755	0.2149369574
756	0.2149108088
757	0.2148835075
758	0.214847349
759	0.2148252309
760	0.2147858521
761	0.2147566847
762	0.2147344067
763	0.2147034742
764	0.2146555102
765	0.2146330736
766	0.2146109883
767	0.2145796397
768	0.2145507172
769	0.2145318473
770	0.2144951999
771	0.2144653157
772	0.2144378038
773	0.2143958243
774	0.2143734815
775	0.2143484503
776	0.2142906136
777	0.214258974
778	0.2142208613
779	0.2141776421
780	0.2141516515
781	0.2141165315
782	0.2140330135
783	0.2139663605
784	0.2139452381
785	0.2139226026
786	0.2138920817
787	0.2138601797
788	0.2138348664
789	0.2138077892
790	0.2137879397
791	0.2137552646
792	0.2137262358
793	0.213694112
794	0.2136634995
795	0.2136324232
796	0.2135939353
797	0.2135712027
798	0.21354757
799	0.2135274362
800	0.2134410923
801	0.2134110577
802	0.2133828465
803	0.2133453168
804	0.2132218038
805	0.2131913773
806	0.2131636028
807	0.2131409808
808	0.2131106374
809	0.2130902683
810	0.2130610749
811	0.2130385305
812	0.2130057957
813	0.2129744675
814	0.2129502494
815	0.2129153293
816	0.2128868044
817	0.2128621423
818	0.2128315132
819	0.2127999507
820	0.2127651964
821	0.2127337887
822	0.2127027216
823	0.2126782107
824	0.2126511015
825	0.2126190257
826	0.2125462191
827	0.2125169083
828	0.2124970756
829	0.2124674089
830	0.2124375384
831	0.2123992461
832	0.2123659273
833	0.2123449345
834	0.2123200341
835	0.2122921703
836	0.2122760716
837	0.2122555778
838	0.2122308489
839	0.2121937255
840	0.2121748887
841	0.2120910152
842	0.2120594525
843	0.2120246164
844	0.2120076
845	0.2119729582
846	0.2119380773
847	0.2119084835
848	0.2118749281
849	0.211844916
850	0.2118187676
851	0.211798159
852	0.2117796504
853	0.2117349673
854	0.2116999265
855	0.2116759671
856	0.2116480411
857	0.2115569314
858	0.2115229736
859	0.2114985071
860	0.2114754335
861	0.21145195
862	0.2114339384
863	0.2114149095
864	0.2113611465
865	0.2113290499
866	0.2113132565
867	0.2112683846
868	0.2112435631
869	0.21122973
870	0.2111972689
871	0.2111660821
872	0.2111450731
873	0.2111212899
874	0.2110954016
875	0.2110651358
876	0.2110276434
877	0.2109972587
878	0.2109629819
879	0.2109329244
880	0.2108858684
881	0.2108579139
882	0.2108293835
883	0.2108139837
884	0.2107870114
885	0.2107526853
886	0.2107213376
887	0.2106902306
888	0.2106630541
889	0.2106350275
890	0.2105992131
891	0.2105675121
892	0.2105437518
893	0.210524365
894	0.2104975014
895	0.2104735318
896	0.21044586
897	0.2104181014
898	0.210392604
899	0.2103659023
900	0.2103093623
901	0.2102785562
902	0.2102439679
903	0.2102157678
904	0.2101891734
905	0.2101678109
906	0.2101528187
907	0.2101266912
908	0.2101003921
909	0.2100746603
910	0.2100545735
911	0.2100307771
912	0.2100103001
913	0.2099820593
914	0.2099471525
915	0.2099220356
916	0.2098971513
917	0.2098706782
918	0.2098456612
919	0.209798686
920	0.2097726635
921	0.2097477608
922	0.209670691
923	0.2096441245
924	0.209614749
925	0.209588721
926	0.2095669659
927	0.2095304081
928	0.2095046745
929	0.2094834978
930	0.2094373382
931	0.2094084581
932	0.2093761893
933	0.2093486762
934	0.2093256305
935	0.2092944637
936	0.2092626043
937	0.209245618
938	0.2092240497
939	0.2091984964
940	0.209131632
941	0.2091071287
942	0.2090876032
943	0.209059395
944	0.2090305704
945	0.2089825212
946	0.2089613779
947	0.2089378472
948	0.2089117275
949	0.2088833179
950	0.2088599885
951	0.2088346904
952	0.2088121391
953	0.2087846113
954	0.2087627954
955	0.2087389552
956	0.2086853627
957	0.2086569511
958	0.2086188824
959	0.2085973011
960	0.2085774307
961	0.2085565137
962	0.2085360293
963	0.2085045903
964	0.2084699384
965	0.2084505434
966	0.2084263678
967	0.2084028599
968	0.2083740756
969	0.2083474962
970	0.2083168451
971	0.208293413
972	0.2082717253
973	0.2082496226
974	0.2082298772
975	0.2082066713
976	0.2081838031
977	0.2081605111
978	0.2081397658
979	0.208114378
980	0.2080840745
981	0.2080500736
982	0.2080287327
983	0.2080019476
984	0.2079853068
985	0.2079655903
986	0.2079366499
987	0.2078981906
988	0.2078663102
989	0.2078354696
990	0.2078047503
991	0.2077834079
992	0.2077599224
993	0.2077179607
994	0.2076943826
995	0.2076457322
996	0.2076236249
997	0.2076008401
998	0.2075720738
999	0.2075466659
1000	0.2075207628
1001	0.2075020802
1002	0.2074763073
1003	0.2074538221
1004	0.2074290814
1005	0.2073998962
1006	0.2073777374
1007	0.207352314
1008	0.2073294171
1009	0.2073071687
1010	0.2072896611
1011	0.2072678781
1012	0.2072480606
1013	0.2072226508
1014	0.2072033555
1015	0.2071782222
1016	0.2071520328
1017	0.2071350812
1018	0.2071105814
1019	0.2070759291
1020	0.2070453458
1021	0.2070208279
1022	0.2069603729
1023	0.2069345703
1024	0.2069138602
1025	0.206881556
1026	0.206858271
1027	0.2068433677
1028	0.2068119383
1029	0.2067938184
1030	0.2067733751
1031	0.2067461513
1032	0.2067281817
1033	0.2067047505
1034	0.2066757335
1035	0.2066613434
1036	0.2066378636
1037	0.2066179128
1038	0.2065963314
1039	0.2065784476
1040	0.2065574293
1041	0.2065384276
1042	0.2065103426
1043	0.2064885899
1044	0.2064672023
1045	0.2064449933
1046	0.2064232303
1047	0.2064037219
1048	0.2063757671
1049	0.2063487553
1050	0.206327944
1051	0.20630701
1052	0.2062278128
1053	0.2062125948
1054	0.2061809523
1055	0.2061588491
1056	0.2061362954
1057	0.2061113481
1058	0.20609075
1059	0.2060566316
1060	0.2060348473
1061	0.2060093839
1062	0.2059424678
1063	0.2059134648
1064	0.2058891034
1065	0.205863565
1066	0.2058414403
1067	0.2058193876
1068	0.2057939286
1069	0.205770759
1070	0.2057546534
1071	0.2057289847
1072	0.2057075523
1073	0.2056886022
1074	0.2056661057
1075	0.2056455387
1076	0.2056249712
1077	0.2055970981
1078	0.2055818969
1079	0.2055107961
1080	0.2054890524
1081	0.2054661984
1082	0.2054484066
1083	0.2054336928
1084	0.205407019
1085	0.205375846
1086	0.2053532747
1087	0.2053325271
1088	0.2053107938
1089	0.2052888323
1090	0.2052653302
1091	0.2052490757
1092	0.2052309205
1093	0.2052078542
1094	0.2051826806
1095	0.2051514087
1096	0.2051257032
1097	0.2050871267
1098	0.2050666787
1099	0.2050457602
1100	0.2050191838
1101	0.2049954015
1102	0.2049790094
1103	0.2049243153
1104	0.204883263
1105	0.2048572511
1106	0.2048360668
1107	0.2048206269
1108	0.2047690596
1109	0.2047528532
1110	0.2047279149
1111	0.2047046681
1112	0.2046790367
1113	0.2046577751
1114	0.2046380367
1115	0.2046183258
1116	0.2045518371
1117	0.2045340011
1118	0.2045086615
1119	0.204484036
1120	0.2044634608
1121	0.2044461988
1122	0.2044301912
1123	0.2044104588
1124	0.2043781481
1125	0.2043615414
1126	0.2043375645
1127	0.2043112
1128	0.2042850504
1129	0.2042675595
1130	0.2042498392
1131	0.2042331098
1132	0.2041070314
1133	0.2040829335
1134	0.2040718622
1135	0.2040470355
1136	0.2040319936
1137	0.2039921828
1138	0.2039585206
1139	0.2039342223
1140	0.203904059
1141	0.2038824153
1142	0.2038549484
1143	0.2038351423
1144	0.2037903884
1145	0.2037674373
1146	0.20374581
1147	0.2037297109
1148	0.2037062497
1149	0.2036792873
1150	0.2036548675
1151	0.2036341567
1152	0.2036000627
1153	0.2035578409
1154	0.2035314513
1155	0.2034955147
1156	0.2034726461
1157	0.2034449504
1158	0.2034158647
1159	0.2033902192
1160	0.203362956
1161	0.2033443324
1162	0.2033241533
1163	0.20330223
1164	0.2032789866
1165	0.2032607879
1166	0.2032447701
1167	0.2032206067
1168	0.203201155
1169	0.2031841075
1170	0.2031671681
1171	0.2031487852
1172	0.2031247255
1173	0.2030636001
1174	0.2030434719
1175	0.2030186917
1176	0.2029965913
1177	0.2029775588
1178	0.2029461779
1179	0.2029162393
1180	0.2028607127
1181	0.2028400158
1182	0.2028153437
1183	0.2027869687
1184	0.2027705231
1185	0.2027477564
1186	0.2027274883
1187	0.20270958
1188	0.202690519
1189	0.2026725356
1190	0.2026458057
1191	0.2026269597
1192	0.2026066976
1193	0.2025853094
1194	0.2025599745
1195	0.2025072839
1196	0.2024854121
1197	0.2024665186
1198	0.2024457459
1199	0.2024251941
1200	0.2023968946
1201	0.2023731262
1202	0.2022955989
1203	0.202268133
1204	0.202244318
1205	0.2022224782
1206	0.2021945663
1207	0.2021800291
1208	0.2021547759
1209	0.2021347443
1210	0.2020769175
1211	0.2020593654
1212	0.2020362166
1213	0.2020169412
1214	0.2019928612
1215	0.2019793516
1216	0.2019509848
1217	0.2019274404
1218	0.2019117358
1219	0.2018917887
1220	0.2018693941
1221	0.2018421425
1222	0.2018166607
1223	0.2017906862
1224	0.2017669394
1225	0.2017461396
1226	0.2017297879
1227	0.2017118621
1228	0.2016415916
1229	0.2016279866
1230	0.2016094557
1231	0.2015954597
1232	0.201573385
1233	0.2015518338
1234	0.2015340389
1235	0.2015101468
1236	0.201488785
1237	0.2014646381
1238	0.2014407721
1239	0.2014177474
1240	0.2013955826
1241	0.201375332
1242	0.2013533641
1243	0.2013377246
1244	0.2013128274
1245	0.2012856717
1246	0.2012444866
1247	0.2012231003
1248	0.2012030332
1249	0.2011823733
1250	0.2011698141
1251	0.201144689
1252	0.2011230958
1253	0.2011052652
1254	0.2010831907
1255	0.2010617913
1256	0.201031559
1257	0.2010054251
1258	0.2009805415
1259	0.2009557138
1260	0.2009378287
1261	0.2009127772
1262	0.2008851077
1263	0.2008682989
1264	0.2008522652
1265	0.2008278482
1266	0.2007920789
1267	0.2007758187
1268	0.2007567974
1269	0.2007298768
1270	0.200713417
1271	0.2006878418
1272	0.2006674065
1273	0.2006488727
1274	0.2006300637
1275	0.2006034288
1276	0.2005862163
1277	0.2005715462
1278	0.2005533286
1279	0.2005330624
1280	0.2005135183
1281	0.2004892786
1282	0.200471418
1283	0.2004542725
1284	0.2004360242
1285	0.2004152073
1286	0.200382558
1287	0.2003634576
1288	0.2003426046
1289	0.200319776
1290	0.2003017233
1291	0.2002871012
1292	0.200230808
1293	0.2002026528
1294	0.2001809351
1295	0.2001599187
1296	0.2001391128
1297	0.2001139277
1298	0.200098845
1299	0.2000746091
1300	0.2000508457
1301	0.2000336456
1302	0.2000128869
1303	0.2000019493
1304	0.1999748509
1305	0.1999565057
1306	0.1999364057
1307	0.1999080306
1308	0.1998910172
1309	0.1998600623
1310	0.1998399219
1311	0.1998205862
1312	0.1997998141
1313	0.1997617868
1314	0.1997263009
1315	0.1997035822
1316	0.1996815413
1317	0.199659305
1318	0.1996366654
1319	0.1996165041
1320	0.1995975491
1321	0.1995386084
1322	0.199514471
1323	0.1994980398
1324	0.1994815638
1325	0.1994673983
1326	0.1994396138
1327	0.1994223102
1328	0.1993965433
1329	0.1993780412
1330	0.1993425345
1331	0.1993236058
1332	0.1992989702
1333	0.199279165
1334	0.1992600732
1335	0.1992362225
1336	0.1992132295
1337	0.1991945879
1338	0.1991800308
1339	0.1991575093
1340	0.1991342659
1341	0.1991193069
1342	0.1991048992
1343	0.1990772452
1344	0.1990584761
1345	0.1990373888
1346	0.1990220987
1347	0.1989999242
1348	0.198975465
1349	0.1989567504
1350	0.1989420285
1351	0.1989230823
1352	0.1989047723
1353	0.1988816209
1354	0.1988545436
1355	0.1988332965
1356	0.1988117941
1357	0.1987892975
1358	0.1987719782
1359	0.1987565078
1360	0.1987346153
1361	0.1987153382
1362	0.1987002926
1363	0.1986802432
1364	0.1986635638
1365	0.1986491028
1366	0.1986274264
1367	0.1986072916
1368	0.1985375344
1369	0.1985060648
1370	0.1984814372
1371	0.1984629017
1372	0.1984394158
1373	0.1984008774
1374	0.1983813477
1375	0.1983624486
1376	0.1983371974
1377	0.1983184241
1378	0.1982896503
1379	0.1982778423
1380	0.1982541705
1381	0.1982348883
1382	0.1982154568
1383	0.1981992877
1384	0.1981787854
1385	0.1981653433
1386	0.1981467931
1387	0.1981174613
1388	0.1980997573
1389	0.1980827666
1390	0.1980446259
1391	0.198026078
1392	0.1980060028
1393	0.1979809735
1394	0.1979543144
1395	0.1979315328
1396	0.1979117834
1397	0.1978904976
1398	0.1978490061
1399	0.197831091
1400	0.1978146999
1401	0.1978023209
1402	0.1977837741
1403	0.1977705409
1404	0.1977519699
1405	0.1977312374
1406	0.1976934376
1407	0.1976757855
1408	0.1976027241
1409	0.1975758173
1410	0.1975545941
1411	0.1975400443
1412	0.1975176564
1413	0.197500717
1414	0.19748445
1415	0.1974713436
1416	0.1974548126
1417	0.1973871296
1418	0.1973675536
1419	0.1973423199
1420	0.1973250382
1421	0.1973044455
1422	0.197285431
1423	0.1972629505
1424	0.1972476682
1425	0.1972303692
1426	0.1972060878
1427	0.1971889915
1428	0.1971719006
1429	0.1971176941
1430	0.1971004492
1431	0.1970859411
1432	0.1970684227
1433	0.1970460651
1434	0.1970220563
1435	0.1969998143
1436	0.1969757556
1437	0.1969574375
1438	0.1969415795
1439	0.1969303164
1440	0.1969099745
1441	0.1968913335
1442	0.1968642383
1443	0.1968514079
1444	0.1968372904
1445	0.1968201448
1446	0.1968096885
1447	0.1967921077
1448	0.1967710557
1449	0.1967551192
1450	0.1967355757
1451	0.1967190777
1452	0.1967018776
1453	0.1966822661
1454	0.1966690692
1455	0.1966477149
1456	0.1966289834
1457	0.1966124814
1458	0.1965972414
1459	0.1965788328
1460	0.1965481443
1461	0.1965331366
1462	0.1965118745
1463	0.1964883352
1464	0.1964726983
1465	0.1964543233
1466	0.1964378234
1467	0.1964209788
1468	0.1964009353
1469	0.1963892347
1470	0.1963722894
1471	0.1963524642
1472	0.1963311846
1473	0.1963099427
1474	0.196289508
1475	0.1962661764
1476	0.1962488489
1477	0.1962337751
1478	0.1962128773
1479	0.1961931913
1480	0.1961757588
1481	0.1961617688
1482	0.1961448508
1483	0.1961246643
1484	0.1961047063
1485	0.1960798208
1486	0.196050505
1487	0.1960355338
1488	0.1960213042
1489	0.196000465
1490	0.1959831427
1491	0.1959632343
1492	0.1959475983
1493	0.1959294952
1494	0.1959079896
1495	0.1958873909
1496	0.1958660014
1497	0.1958488276
1498	0.1958330768
1499	0.1958128933
1500	0.1957942655
1501	0.1957716928
1502	0.1957583277
1503	0.1957385309
1504	0.1957133375
1505	0.1956996872
1506	0.195674765
1507	0.1956582482
1508	0.1956331494
1509	0.1956188045
1510	0.1956038135
1511	0.1955793312
